type,datetime,throughput,exectime
write,"Thu, 11 Feb 2016 14:52:52 GMT",2.8036354741192904,456.662
read,"Thu, 11 Feb 2016 14:56:00 GMT",7.808054593917721,182.898
write,"Thu, 11 Feb 2016 15:04:19 GMT",2.6521976026454346,492.718
read,"Thu, 11 Feb 2016 15:07:53 GMT",7.141345983037518,210.757
write,"Thu, 11 Feb 2016 15:17:28 GMT",2.2742623998471694,566.878
read,"Thu, 11 Feb 2016 15:20:36 GMT",7.909070731972962,178.644
write,"Thu, 11 Feb 2016 15:29:15 GMT",2.5625291821357123,512.673
read,"Thu, 11 Feb 2016 15:32:17 GMT",8.380949055178947,178.696
write,"Thu, 11 Feb 2016 15:42:24 GMT",2.289818185096785,598.399
read,"Thu, 11 Feb 2016 15:46:32 GMT",6.566123807821047,236.17
write,"Thu, 11 Feb 2016 15:54:25 GMT",2.7387302675910643,467.22
read,"Thu, 11 Feb 2016 15:56:59 GMT",10.458320650803863,150.811
write,"Thu, 11 Feb 2016 16:04:36 GMT",3.14051344123396,449.904
read,"Thu, 11 Feb 2016 16:08:08 GMT",8.135103735283725,207.624
write,"Thu, 11 Feb 2016 16:16:41 GMT",2.495473055909514,506.049
read,"Thu, 11 Feb 2016 16:20:19 GMT",7.084217323125173,211.032
write,"Thu, 11 Feb 2016 16:29:30 GMT",2.727385231913544,544.902
read,"Thu, 11 Feb 2016 16:32:41 GMT",8.103819380723007,180.29
write,"Thu, 11 Feb 2016 16:43:23 GMT",2.080984458254281,634.856
read,"Thu, 11 Feb 2016 16:47:52 GMT",5.337314376823513,262.776
write,"Thu, 11 Feb 2016 16:57:16 GMT",2.5384636741881876,553.974
read,"Thu, 11 Feb 2016 17:01:05 GMT",6.7979935155639355,209.961
write,"Thu, 11 Feb 2016 17:08:58 GMT",2.9464951470918,467.133
read,"Thu, 11 Feb 2016 17:12:15 GMT",7.728888621240339,192.852
write,"Thu, 11 Feb 2016 17:21:21 GMT",2.5052715087997663,539.781
read,"Thu, 11 Feb 2016 17:24:44 GMT",7.192805396402249,199.056
write,"Thu, 11 Feb 2016 17:32:17 GMT",2.8454460414510354,445.783
read,"Thu, 11 Feb 2016 17:35:08 GMT",8.852831633528181,167.593
write,"Thu, 11 Feb 2016 17:42:45 GMT",2.84247972246028,450.586
read,"Thu, 11 Feb 2016 17:45:28 GMT",9.851650561954568,157.747
